Level,Date and Time,Source,Event ID,Task Category
Information,02/12/2022 16:10:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:10:03,Squid Service Source,0,None,Squid started: process id '568'.
Information,02/12/2022 16:10:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:09:43,Squid Service Source,0,None,Squid started: process id '3448'.
Information,02/12/2022 16:09:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:09:23,Squid Service Source,0,None,Squid started: process id '6004'.
Information,02/12/2022 16:09:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:09:03,Squid Service Source,0,None,Squid started: process id '6440'.
Information,02/12/2022 16:09:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:08:43,Squid Service Source,0,None,Squid started: process id '6120'.
Information,02/12/2022 16:08:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:08:23,Squid Service Source,0,None,Squid started: process id '908'.
Information,02/12/2022 16:08:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:08:03,Squid Service Source,0,None,Squid started: process id '4228'.
Information,02/12/2022 16:08:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:07:42,Squid Service Source,0,None,Squid started: process id '7132'.
Information,02/12/2022 16:07:39,Squid Service Source,0,None,Squid is starting...
